,id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
122,3111309,2010,78465129,2841413,75623717,19096391,4110193,25632234,26784899
123,3111408,2010,205509962,17704652,18780531,58712084,60786713,49868653,1843786
124,3111507,2010,170940558,641836,164522199,66899922,10012034,52588116,35022128
125,3111606,2010,282617482,15021429,267596053,76574691,28866663,103619538,58535161
126,3111705,2010,36360292,1057327,35302965,15041937,1494354,7319223,1144745
127,3111804,2010,208976181,20042439,188933742,49967415,52223965,57440388,29301973
128,3111903,2010,41113705,1933361,39180344,10370683,2456036,12947428,13406198
129,3112000,2010,128160767,7355798,120804969,29658673,1124333,47722299,32180667
130,3112059,2010,21138053,682112,20455941,30447,1567077,523833,10605834
131,3112109,2010,46432166,4101996,4233017,9055419,1886246,182338,13154706
132,3112208,2010,24541805,938642,23603163,2708284,1235645,7988195,11671039
133,3112307,2010,256075799,18210931,237864868,37041747,26766311,103035289,71021521
134,3112406,2010,59623698,2643739,5697996,17166371,4037859,19370705,16405025
135,3112505,2010,62321903,6109448,56212455,1579059,16439351,18668874,19525171
136,3112604,2010,206239565,14694961,191544604,4745039,37887185,70981272,35225757
137,3112653,2010,25713563,676165,25037398,3430305,2475816,6581886,12549391
138,3112703,2010,155584646,26445261,129139385,18916523,51135325,26733492,32354045
139,3112802,2010,106156531,7865359,98291172,17170235,15298097,44302932,21519908
140,3112901,2010,47658974,1459495,46199479,12049014,2483555,11481616,20185294
141,3113008,2010,10076475,2415687,98349063,10236179,5861546,23039473,59211865
142,3113107,2010,15434886,441195,14993691,187657,667297,3883095,8566729
143,3113206,2010,397736349,30045416,367690933,33530003,185164309,97373658,51622963
144,3113305,2010,291208954,21083664,270125291,14776786,25746085,15898488,7061754
145,3113404,2010,859125324,81141337,777983986,41372563,109024381,45079763,176789412
146,3113503,2010,52832271,2501519,50330753,5513158,4828864,18469305,21519425
147,3113602,2010,69178442,6632467,62545975,8172724,5086036,35164391,14122824
148,3113701,2010,254136555,15586665,23854989,40295864,87966345,64742909,45544771
149,3113800,2010,14838317,445197,1439312,1077828,674078,4620978,8020236
150,3113909,2010,11683821,5659219,11117899,38907781,6297768,3894177,27031671
151,3114006,2010,90425636,7003296,8342234,11917468,12089672,35124026,24291174
152,3114105,2010,99879092,6091955,93787138,19801419,529204,38063913,30629766
153,3114204,2010,227890527,29647443,198243084,14642756,75638827,63093632,44867868
154,3114303,2010,359631479,32314097,327317382,77259617,2381029,163771269,62476206
155,3114402,2010,222871307,14013047,20885826,60389609,13678675,89432481,45357496
156,3114501,2010,202127364,32190546,169936819,17193468,45627248,69408623,3770748
157,3114550,2010,167392828,12270797,155122031,45415861,34870061,44825692,30010416
158,3114600,2010,32866516,1301384,31565132,8719431,1324046,11214837,10306818
159,3114709,2010,31064857,886534,30178323,10830747,2532566,7281853,9533157
160,3114808,2010,26796655,1303226,25493429,4110345,1586384,9000353,10796346
161,3114907,2010,20478365,443717,20034648,5516474,953809,5738565,7825801
162,3115003,2010,32333959,1259409,3107455,10115255,5444539,6751849,8762906
163,3115102,2010,190153007,13332423,176820583,3595066,17334906,84660061,38874956
164,3115201,2010,23636865,681832,22955033,5242133,1381085,6269939,10061875
165,3115300,2010,101591919,142606219,87331297,10330986,30120169,410910325,150869969
166,3115359,2010,297630938,4300224,293330713,8542652,209654024,59110222,16023816
167,3115409,2010,14708822,440289,14268533,1176621,721552,3815969,8554391
168,3115458,2010,34616116,277418,31841937,3531615,1518532,12197986,14593803
169,3115474,2010,23889641,735874,23153767,3906509,1038151,5395453,12813653
170,3115508,2010,198694811,14437563,184257248,2434253,14555705,118711483,48555806
171,3115607,2010,9627526,260767,9366759,1419236,528928,233258,5086015
172,3115706,2010,38445761,1676908,36768853,3322286,2958171,1501873,15469666
173,3115805,2010,92196197,3844002,88352195,26487658,6291708,31685575,23887254
174,3115904,2010,23414071,1021814,22392258,6369349,1668382,6441274,7913252
175,3116001,2010,30375391,983132,29392259,6825596,1710823,8268664,12587175
176,3116100,2010,53142176,2172875,50969301,2917867,1638085,13550521,32862828
177,3116159,2010,74931504,2048444,7288306,2867568,4411873,15784872,24010636
178,3116209,2010,23844653,6074355,17770298,2293466,767402,5146802,9562627
179,3116308,2010,27421216,68213,26739086,2987626,2023686,711039,14617384
180,3116407,2010,52246649,4661995,47584654,10920092,11434229,13920756,11309577
181,3116506,2010,44926132,1536939,43389193,13101978,2316691,11004491,16966032
182,3116605,2010,321375087,40676308,28069878,16947169,70301147,136755241,56695223
183,3116704,2010,58386037,5318334,53067703,9409443,3135572,25014518,15508171
184,3116803,2010,4078763,1679017,39108613,6179597,1879521,12177418,18872077
185,3116902,2010,76787741,2565921,7422182,45515989,4244843,16267133,8193855
186,3117009,2010,39108159,1799637,37308522,5282051,4163662,8933789,18929019
187,3117108,2010,100777288,4148242,96629046,37353361,5597761,31260481,22417442
188,3117207,2010,24352187,759656,2359253,8342784,1291717,622783,77302
189,3117306,2010,490189545,50915644,439273901,106723266,131727228,141186657,5963675
